[2020-02-24 00:26:57,252] [DEBUG   ] [released_date: 15 Feb, 2019]
[2020-02-24 00:26:59,931] [DEBUG   ] [released_date: 30 Mar, 2016]
[2020-02-24 00:27:01,088] [DEBUG   ] [released_date: 22 Jan, 2014]
[2020-02-24 00:27:01,205] [DEBUG   ] [released_date: 3 Dec, 2014]
[2020-02-24 00:27:01,453] [DEBUG   ] [released_date: 29 Jan, 2020]
[2020-02-24 00:27:02,173] [DEBUG   ] [released_date: 29 Mar, 2019]
[2020-02-24 00:27:02,259] [DEBUG   ] [released_date: 11 Mar, 2010]
[2020-02-24 00:27:02,551] [DEBUG   ] [released_date: 1 Dec, 2015]
[2020-02-24 00:27:02,663] [DEBUG   ] [released_date: 18 Oct, 2016]
[2020-02-24 00:27:02,714] [DEBUG   ] [released_date: 15 Jan, 2013]
[2020-02-24 00:27:03,000] [DEBUG   ] [released_date: 16 Nov, 2015]
[2020-02-24 00:27:03,559] [DEBUG   ] [released_date: 25 Jun, 2015]
[2020-02-24 00:27:03,584] [DEBUG   ] [released_date: 3 Feb, 2015]
[2020-02-24 00:27:03,645] [DEBUG   ] [released_date: 28 Sep, 2017]
[2020-02-24 00:27:03,714] [DEBUG   ] [released_date: 25 Feb, 2016]
[2020-02-24 00:27:04,078] [DEBUG   ] [released_date: 9 Oct, 2014]
[2020-02-24 00:27:04,174] [DEBUG   ] [released_date: 18 Dec, 2017]
[2020-02-24 00:27:04,257] [DEBUG   ] [released_date: 26 Sep, 2019]
[2020-02-24 00:27:04,316] [DEBUG   ] [released_date: 24 Sep, 2013]
[2020-02-24 00:27:04,744] [DEBUG   ] [released_date: 19 Apr, 2016]
[2020-02-24 00:27:05,179] [DEBUG   ] [released_date: 22 Oct, 2019]
[2020-02-24 00:27:05,238] [DEBUG   ] [released_date: 22 Sep, 2017]
[2020-02-24 00:27:05,392] [DEBUG   ] [released_date: 13 Mar, 2019]
[2020-02-24 00:27:05,410] [DEBUG   ] [released_date: 28 Jan, 2020]
[2020-02-24 00:27:05,431] [DEBUG   ] [released_date: 21 Jul, 2015]
[2020-02-24 00:27:05,521] [DEBUG   ] [released_date: 7 Mar, 2018]
[2020-02-24 00:27:05,564] [DEBUG   ] [released_date: 30 Aug, 2016]
[2020-02-24 00:27:05,690] [DEBUG   ] [released_date: 18 Feb, 2016]
[2020-02-24 00:27:05,693] [DEBUG   ] [released_date: 23 Feb, 2016]
[2020-02-24 00:27:05,918] [DEBUG   ] [released_date: 30 Nov, 2017]
[2020-02-24 00:27:05,979] [DEBUG   ] [released_date: 17 Aug, 2017]
[2020-02-24 00:27:05,988] [DEBUG   ] [released_date: 20 Sep, 2012]
[2020-02-24 00:27:06,310] [DEBUG   ] [released_date: 14 Sep, 2015]
[2020-02-24 00:27:06,317] [DEBUG   ] [released_date: 15 Jan, 2016]
[2020-02-24 00:27:06,359] [DEBUG   ] [released_date: 21 Jun, 2016]
[2020-02-24 00:27:06,362] [DEBUG   ] [released_date: 23 Jul, 2015]
[2020-02-24 00:27:07,610] [DEBUG   ] [released_date: 7 Nov, 2016]
[2020-02-24 00:27:07,701] [DEBUG   ] [released_date: 6 Dec, 2017]
[2020-02-24 00:27:07,705] [DEBUG   ] [released_date: 5 Dec, 2017]
[2020-02-24 00:27:07,777] [DEBUG   ] [released_date: 7 Dec, 2017]
[2020-02-24 00:27:08,271] [DEBUG   ] [released_date: 19 Aug, 2013]
[2020-02-24 00:27:08,828] [DEBUG   ] [released_date: 28 Oct, 2016]
[2020-02-24 00:27:09,406] [DEBUG   ] [released_date: 23 Jan, 2020]
[2020-02-24 00:27:09,439] [DEBUG   ] [released_date: 19 Nov, 2019]
[2020-02-24 00:27:09,465] [DEBUG   ] [released_date: 29 Apr, 2013]
[2020-02-24 00:27:09,584] [DEBUG   ] [released_date: 27 Jun, 2019]
[2020-02-24 00:27:09,771] [DEBUG   ] [released_date: 2 Jun, 2016]
[2020-02-24 00:27:09,896] [DEBUG   ] [released_date: 12 Aug, 2019]
[2020-02-24 00:27:10,499] [DEBUG   ] [released_date: 3 Feb, 2015]
[2020-02-24 00:27:10,527] [DEBUG   ] [released_date: 25 Apr, 2017]
[2020-02-24 00:27:10,555] [DEBUG   ] [released_date: 12 Oct, 2019]
[2020-02-24 00:27:12,679] [DEBUG   ] [released_date: 2 Feb, 2018]
[2020-02-24 00:27:12,786] [DEBUG   ] [released_date: 12 Sep, 2019]
[2020-02-24 00:27:12,880] [DEBUG   ] [released_date: 16 Sep, 2016]
[2020-02-24 00:27:13,479] [DEBUG   ] [released_date: 15 Nov, 2012]
[2020-02-24 00:27:13,640] [DEBUG   ] [released_date: 8 Mar, 2018]
[2020-02-24 00:27:13,914] [DEBUG   ] [released_date: 29 May, 2014]
[2020-02-24 00:27:14,081] [DEBUG   ] [released_date: 7 Nov, 2018]
[2020-02-24 00:27:14,186] [DEBUG   ] [released_date: 27 Mar, 2017]
[2020-02-24 00:27:14,819] [DEBUG   ] [released_date: 21 Aug, 2012]
[2020-02-24 00:27:14,824] [DEBUG   ] [released_date: 7 Aug, 2018]
[2020-02-24 00:27:15,769] [DEBUG   ] [released_date: 24 Jan, 2019]
[2020-02-24 00:27:16,050] [DEBUG   ] [released_date: 20 May, 2016]
[2020-02-24 00:27:16,077] [DEBUG   ] [released_date: 19 Oct, 2018]
[2020-02-24 00:27:16,152] [DEBUG   ] [released_date: 19 Apr, 2013]
[2020-02-24 00:27:16,184] [DEBUG   ] [released_date: 7 May, 2015]
[2020-02-24 00:27:16,294] [DEBUG   ] [released_date: 10 Oct, 2016]
[2020-02-24 00:27:16,478] [DEBUG   ] [released_date: 19 Oct, 2018]
[2020-02-24 00:27:16,509] [DEBUG   ] [released_date: 11 Dec, 2017]
[2020-02-24 00:27:16,563] [DEBUG   ] [released_date: 15 Dec, 2016]
[2020-02-24 00:27:16,798] [DEBUG   ] [released_date: 3 Jun, 2016]
[2020-02-24 00:27:17,014] [DEBUG   ] [released_date: 17 Aug, 2017]
[2020-02-24 00:27:17,122] [DEBUG   ] [released_date: 15 Jun, 2017]
[2020-02-24 00:27:17,135] [DEBUG   ] [released_date: 18 Jan, 2018]
[2020-02-24 00:27:17,336] [DEBUG   ] [released_date: 6 Oct, 2016]
[2020-02-24 00:27:17,384] [DEBUG   ] [released_date: 25 Aug, 2016]
[2020-02-24 00:27:17,459] [DEBUG   ] [released_date: 16 Dec, 2019]
[2020-02-24 00:27:17,548] [DEBUG   ] [released_date: 2 Feb, 2017]
[2020-02-24 00:27:17,716] [DEBUG   ] [released_date: 21 May, 2018]
[2020-02-24 00:27:17,866] [DEBUG   ] [released_date: 19 May, 2017]
[2020-02-24 00:27:18,440] [DEBUG   ] [released_date: 22 Jan, 2018]
[2020-02-24 00:27:18,782] [DEBUG   ] [released_date: 22 Jan, 2013]
[2020-02-24 00:27:18,801] [DEBUG   ] [released_date: 27 Nov, 2018]
[2020-02-24 00:27:18,991] [DEBUG   ] [released_date: 20 Nov, 2019]
[2020-02-24 00:27:19,061] [DEBUG   ] [released_date: 10 Mar, 2015]
[2020-02-24 00:27:19,084] [DEBUG   ] [released_date: 13 Sep, 2018]
[2020-02-24 00:27:19,232] [DEBUG   ] [released_date: 26 Feb, 2016]
[2020-02-24 00:27:19,317] [DEBUG   ] [released_date: 25 Aug, 2016]
[2020-02-24 00:27:19,914] [DEBUG   ] [released_date: 6 Oct, 2015]
[2020-02-24 00:27:20,354] [DEBUG   ] [released_date: 30 Nov, 2015]
[2020-02-24 00:27:20,592] [DEBUG   ] [released_date: 13 Nov, 2019]
[2020-02-24 00:27:21,020] [DEBUG   ] [released_date: 9 Mar, 2015]
[2020-02-24 00:27:21,350] [DEBUG   ] [released_date: 25 Feb, 2016]
[2020-02-24 00:27:21,681] [DEBUG   ] [released_date: 17 Apr, 2016]
[2020-02-24 00:27:21,808] [DEBUG   ] [released_date: 13 Apr, 2016]
[2020-02-24 00:27:22,834] [DEBUG   ] [released_date: 26 Apr, 2018]
[2020-02-24 00:27:23,189] [DEBUG   ] [released_date: 2 Feb, 2017]
[2020-02-24 00:27:23,302] [DEBUG   ] [released_date: 15 May, 2014]
[2020-02-24 00:27:24,638] [DEBUG   ] [released_date: 15 Feb, 2017]
[2020-02-24 00:27:24,763] [DEBUG   ] [released_date: 19 Mar, 2013]
[2020-02-24 00:27:24,894] [DEBUG   ] [released_date: 28 Oct, 2019]
[2020-02-24 00:27:25,259] [DEBUG   ] [released_date: 29 May, 2014]
[2020-02-24 00:27:25,373] [DEBUG   ] [released_date: 6 Jan, 2019]
[2020-02-24 00:27:25,956] [DEBUG   ] [released_date: 13 Feb, 2015]
[2020-02-24 00:27:26,037] [DEBUG   ] [released_date: 29 Aug, 2014]
[2020-02-24 00:27:26,073] [DEBUG   ] [released_date: 22 May, 2019]
[2020-02-24 00:27:26,375] [DEBUG   ] [released_date: 13 Jul, 2017]
[2020-02-24 00:27:26,553] [DEBUG   ] [released_date: 30 May, 2014]
[2020-02-24 00:27:27,181] [DEBUG   ] [released_date: 1 Sep, 2017]
